source_product_id,product_id,existing_name,existing_barcode,manufacturer_barcode,barcode_evidence_status,identity_status,customer_facing_description,selling_price_action,category_action,approval_state,target_status,target_storefront_visible,notes
P204,,Alaska Sweetened Filled Milk 377g,YSB-SARIMA-P204,4800575120303,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P219,,Nature’s Spring Purified Drinking Water 500ml,YSB-SARIMA-P219,4800049720114,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P238,,Pocari Sweat 900ml,YSB-SARIMA-P238,4800350108878,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P254,,Green Cross Isopropyl Alcohol 70% Solution 250mL,4800047820021,4800047820021,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P074,,Those Days Regular Pads 8 Pads Red Pack,YSB-SARIMA-P074,4801288850082,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P075,,Those Days All Night Pads 8 Pads Purple Pack,YSB-SARIMA-P075,4801288870080,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P089,,Fresca Tuna Hot & Spicy 175g,YSB-SARIMA-P089,748485900087,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P103,,Lady’s Choice Chicken Spread 27mL,YSB-SARIMA-P103,4800888607119,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P122,,Hokkaido Mackerel in Oil 425g,YSB-SARIMA-P122,4800158987019,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P141,,Magnolia Cheezee 160g,YSB-SARIMA-P141,4805358317031,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P317,,Nature’s Spring Distilled Drinking Water 10L,YSB-SARIMA-P317,4800049720244,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P318,,Wilkins Distilled Drinking Water 7L,YSB-SARIMA-P318,4801981164714,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P397,,Alaska Fortified Powdered Milk Drink 300g,YSB-SARIMA-P397,4800575144590,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P268,cmtk4sfhf00r9ib1gyomvtrtm,Absolute Pure Distilled Drinking Water 500ml,YSB-SARIMA-P268,4800014144082,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,Pure distilled drinking water in a 500mL bottle.,PRESERVE_EXISTING_OPERATIONAL_VALUE,Beverages,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P115,cmtk4sd3q005pib1gkvntf7v2,Eden Original Cheese 160g Box,YSB-SARIMA-P115,4808647020094,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,Original filled cheese in a 160g box.,PRESERVE_EXISTING_OPERATIONAL_VALUE,Dairy & Cheese,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P048,cmtk4scpy004pib1gyr3lf2bx,Happy Absorbent Cotton 10g,YSB-SARIMA-P048,4801288820153,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Absorbent cotton roll, 10g pack.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Personal Care,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P342,cmtk4sg0g00zlib1guhg1edyd,Jack ‘n Jill Cloud 9 Classic 12 Bars,YSB-SARIMA-P342,4800010781076,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,Cloud 9 Classic chocolate bars inner box of 12 x 28g bars.,PRESERVE_EXISTING_OPERATIONAL_VALUE,Snacks & Confectionery,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P386,cmtk4sgap014pib1g9hrwnvbf,Nescafé Classic 48 Sticks,YSB-SARIMA-P386,4800361388252,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Nescafé Classic instant coffee, 48 sticks x 2g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Beverages,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P085,cmtk4sdbq006vib1gupcf5mop,555 Tuna Adobo,YSB-SARIMA-P085,748485700014,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Adobo, ready-to-eat tuna flakes in adobo-style sauce, 155g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P114,cmtk4sd3a005lib1gw5v2t0wo,555 Tuna Afritada,YSB-SARIMA-P114,748485700021,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Afritada, ready-to-eat tuna flakes in afritada-style sauce, 155g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P011,cmtk4scer0019ib1gxzujux6m,555 Tuna Caldereta,YSB-SARIMA-P011,748485700038,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Caldereta, ready-to-eat tuna flakes in caldereta-style sauce, 155g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P009,cmtk4sceb0011ib1g9lymd6t2,555 Tuna Flakes in Oil,YSB-SARIMA-P009,748485700083,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Flakes in Oil, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P010,cmtk4scej0015ib1g86rb1fkg,555 Tuna Mechado,YSB-SARIMA-P010,748485700045,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Mechado, ready-to-eat tuna flakes in mechado-style sauce, 155g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P012,cmtk4scez001dib1gfkl71py0,555 Tuna Spicy Paksiw,YSB-SARIMA-P012,748485701387,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Spicy Paksiw, ready-to-eat tuna in spicy paksiw-style sauce, 155g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P013,cmtk4scf7001hib1g9l2y11fo,555 Sardines in Tomato Sauce,YSB-SARIMA-P013,748485200019,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Sardines in Tomato Sauce, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P121,cmtk4sd5c006dib1g1dk4eqxd,555 Hot Sardines in Tomato Sauce,YSB-SARIMA-P121,748485200026,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Sardines in Tomato Sauce with Chili, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P087,cmtk4sdc60073ib1g02s45esx,555 Spanish Style Sardines,YSB-SARIMA-P087,748485200040,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Spanish Style Sardines, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P086,cmtk4sdc2006zib1gvgqrf5sp,555 Tuna Sisig,YSB-SARIMA-P086,748485701448,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"555 Tuna Sizzling Sisig, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P054,cmtk4scqu004xib1gq22zyy0m,Sunsilk Anti-Dandruff & Silky Shampoo Sachet 13.5ml,YSB-SARIMA-P054,4800888282965,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Sunsilk Anti-Dandruff Healthy & Strong shampoo sachet, 13.5mL.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Personal Care,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P123,cmtk4sd5s006lib1g18v00xqj,SABA Mackerel in Natural Oil 155g,YSB-SARIMA-P123,096785013298,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"SABA Mackerel in Natural Oil with salt added, 155g can.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Canned Goods,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P038,cmtk4scl9003tib1gqx7m5utp,Purefoods Classic Tocino 450g,YSB-SARIMA-P038,4808887970531,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Purefoods Classic Tocino, 450g frozen pack.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Frozen Food,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P199,cmtk4se4v00a9ib1g3vvym6dh,Jersey Melon Condensed Creamer 390g,YSB-SARIMA-P199,4806516760430,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Jersey Melon flavored sweetened condensed creamer, 390g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Dairy & Creamers,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P343,cmtk4sg0k00zpib1g1eydyfmp,Jack ‘n Jill Cloud 9 Overload 12 Bars,YSB-SARIMA-P343,4800016963827,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Cloud 9 Overload chocolate bars, 12-bar pack.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Snacks & Confectionery,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P061,cmtk4scrv005pib1gqtx06m4n,Irish Spring Original Soap 113g,YSB-SARIMA-P061,035000141088,VERIFIED_WEB_EXACT_UNIT_2026-09-09,VERIFIED_EXACT_VARIANT_SIZE,"Irish Spring Original deodorant bar soap, 113g.",PRESERVE_EXISTING_OPERATIONAL_VALUE,Personal Care,HOLD_UNTIL_PRICE_AND_CATALOG_GATE_RECONCILED,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; verified barcode candidate. Do not activate before final DB reconciliation.
P220,cmtk4see500ctib1g4pz72chh,Absolute Purified Drinking Water 500ml,YSB-SARIMA-P220,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
P387,cmtk4sgat014tib1g3g9hvgqp,Great Taste Granules Strong 80g,YSB-SARIMA-P387,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
P051,cmtk4scq8004hib1gkfrwwqsn,Hapee Mouth Defense Toothpaste 150g,YSB-SARIMA-P051,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
P154,cmtk4sdmd0081ib1gbt06cnre,Fresh Confidence Ultra Freeze Toothpaste Sachet 20g,YSB-SARIMA-P154,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
P029,cmtk4scji002xib1gkwfnj5cd,Marby Piyaya Original Flavor 90g,YSB-SARIMA-P029,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
P450,cmtk4sgok01c5ib1g2gwmcnzl,Rebisco Fita Crackers 15 packs,YSB-SARIMA-P450,,RESEARCH_PENDING_STRICT_EVIDENCE,NOT_YET_APPROVED,,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,NOT_APPROVED,INACTIVE,FALSE,Placeholder in 50-row working set only; must be replaced or verified before production approval.
